zpid,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher
29344392,1,0,1,1,1.4333333333333331,7.0,1177,16
29347388,1,0,1,1,1.3666666666666665,7.0,1177,16
29341887,1,0,1,1,1.8333333333333333,7.0,1177,16
29347386,1,0,1,1,1.3666666666666665,7.0,1177,16
29347883,1,0,1,1,1.5666666666666664,7.0,1177,16
29334940,1,0,1,1,1.2333333333333334,7.0,1298,16
29337435,1,0,1,1,1.0333333333333334,7.0,1298,16
29335935,1,0,1,1,0.9666666666666668,7.0,1298,16
29337429,1,0,1,1,1.0333333333333334,7.0,1298,16
29338928,1,0,1,1,1.366666666666667,7.0,1298,16
29338927,1,0,1,1,1.366666666666667,7.0,1298,16
29346373,1,0,1,1,2.6333333333333333,7.0,1177,16
29337425,1,0,1,1,1.0666666666666669,7.0,1298,16
29335914,1,0,1,1,1.0,7.0,1298,16
29347870,1,0,1,1,1.0333333333333332,7.0,1483,16
29337911,0,1,1,0,2.6500000000000004,9.0,1669,15
29347867,1,0,1,1,1.0,7.0,1483,16
29333911,1,0,1,1,0.8666666666666667,7.0,1298,16
29333909,1,0,1,1,0.8666666666666667,7.0,1298,16
29346360,1,0,1,1,2.6,7.0,1177,16
29344496,1,0,1,1,2.233333333333333,7.0,1177,16
29349347,1,0,1,1,0.7999999999999999,7.0,1483,16
29337907,0,1,1,0,2.6500000000000004,9.0,1669,15
29348345,1,0,1,1,2.533333333333333,7.0,1177,16
29343996,1,0,1,1,1.0666666666666669,7.0,1177,16
29335992,1,0,1,1,1.0333333333333334,7.0,1298,16
29344490,1,0,1,1,2.233333333333333,7.0,1177,16
29337387,1,0,1,1,1.0666666666666669,7.0,1298,16
29335887,1,0,1,1,1.1,7.0,1298,16
29341834,1,0,1,1,1.6333333333333335,7.0,1177,16
29349325,1,0,1,1,0.9333333333333332,7.0,1483,16
29335878,1,0,1,1,0.9666666666666668,7.0,1298,16
29333689,1,0,1,1,0.9,7.0,1298,16
29349324,1,0,1,1,0.9333333333333332,7.0,1483,16
29348322,1,0,1,1,2.7,7.0,1177,16
2124070859,1,0,1,1,0.9333333333333332,7.0,1298,16
29346317,1,0,1,1,2.5,7.0,1177,16
29335359,1,0,1,1,1.0333333333333334,7.0,1298,16
29337358,1,0,1,1,1.1,7.0,1298,16
29337357,1,0,1,1,1.1,7.0,1298,16
58297856,1,0,1,1,1.933333333333333,7.0,1298,16
29337855,1,0,1,1,1.0333333333333334,7.0,1298,16
29349311,1,0,1,1,1.5,7.0,1177,16
29335854,1,0,1,1,0.9666666666666668,7.0,1298,16
29346309,1,0,1,1,2.5,7.0,1177,16
29346308,1,0,1,1,2.5,7.0,1177,16
29334986,1,0,1,1,1.0333333333333332,7.0,1298,16
29344301,1,0,1,1,1.1333333333333333,7.0,1177,16
58297847,1,0,1,1,1.9,7.0,1298,16
29343989,1,0,1,1,1.0,7.0,1177,16
58297845,1,0,1,1,1.933333333333333,7.0,1298,16
29345563,1,0,1,1,1.2,7.0,1177,16
29337838,1,0,1,1,1.2,7.0,1298,16
29348291,1,0,1,1,2.7,7.0,1177,16
29337333,1,0,1,1,1.1666666666666667,7.0,1298,16
29344291,1,0,1,1,1.2333333333333334,7.0,1177,16
29345785,1,0,1,1,1.5666666666666664,7.0,1177,16
29335828,1,0,1,1,0.9666666666666668,7.0,1298,16
29348283,1,0,1,1,2.6333333333333333,7.0,1177,16
29337822,1,0,1,1,1.0333333333333334,7.0,1298,16
29349279,1,0,1,1,0.9,7.0,1483,16
29346279,1,0,1,1,2.6333333333333333,7.0,1177,16
29346277,1,0,1,1,2.6,7.0,1177,16
29340321,1,0,1,1,1.5333333333333332,6.0,1196,16
29335816,1,0,1,1,1.0,7.0,1298,16
29345772,1,0,1,1,1.5333333333333332,7.0,1177,16
29404935,1,0,1,1,2.1666666666666665,6.0,1196,16
29344272,1,0,1,1,1.1333333333333333,7.0,1177,16
241933815,1,0,1,1,1.1333333333333335,7.0,1298,16
29349263,1,0,1,1,0.9,7.0,1483,16
29349262,1,0,1,1,0.9,7.0,1483,16
29410432,1,0,1,1,1.0666666666666669,7.0,1177,16
29335306,1,0,1,1,0.9333333333333332,7.0,1298,16
29346257,1,0,1,1,2.233333333333333,7.0,1177,16
62605930,1,0,1,1,1.4333333333333331,7.333333333333332,1142,15
29349255,1,0,1,1,0.9333333333333332,7.0,1483,16
29402930,1,0,1,1,1.8666666666666665,6.0,1196,16
29335803,1,0,1,1,0.9666666666666668,7.0,1298,16
29345755,1,0,1,1,1.6,7.0,1177,16
29408929,1,0,1,1,1.2000000000000002,7.0,1177,16
29401429,1,0,1,1,1.3666666666666665,7.333333333333332,1142,15
29344254,1,0,1,1,1.3666666666666665,7.0,1177,16
29344253,1,0,1,1,1.3666666666666665,7.0,1177,16
58297790,1,0,1,1,1.7333333333333332,7.0,1298,16
29407926,1,0,1,1,0.9,6.333333333333332,1087,16
29347750,1,0,1,1,1.0,7.0,1483,16
29335286,1,0,1,1,1.0,7.0,1298,16
29397926,1,0,1,1,1.7000000000000002,6.0,1196,16
64593246,1,0,1,1,1.7,7.0,1177,16
29349743,1,0,1,1,2.3000000000000003,7.0,1177,16
29399424,1,0,1,1,1.3333333333333333,7.333333333333332,1142,15
29335281,1,0,1,1,1.0333333333333334,7.0,1298,16
29408923,1,0,1,1,1.2333333333333334,7.0,1177,16
29335780,1,0,1,1,1.0,7.0,1298,16
29402923,0,0,0,0,1.838295658649848,5.778694090331862,1237,15
29335779,1,0,1,1,1.0,7.0,1298,16
29398923,1,0,1,1,1.6000000000000003,6.0,1196,16
29338778,1,0,1,1,1.3333333333333333,7.0,1298,16
251029420,1,0,1,1,1.7,6.0,1196,16
29338775,1,0,1,1,1.3333333333333333,7.0,1298,16
29404920,1,0,1,1,2.1666666666666665,6.0,1196,16
29349724,1,0,1,1,2.4,7.0,1177,16
29335767,1,0,1,1,1.0,7.0,1298,16
29408919,1,0,1,1,1.1666666666666667,7.0,1177,16
29346220,1,0,1,1,2.0,7.0,1177,16
2078631994,1,0,1,1,1.5,6.0,1196,16
29334982,1,0,1,1,1.0666666666666669,7.0,1298,16
62605916,1,0,1,1,1.4333333333333331,7.333333333333332,1142,15
121658216,1,0,1,1,1.6333333333333335,7.0,1177,16
29338757,1,0,1,1,1.1666666666666667,7.0,1298,16
29398911,1,0,1,1,1.8,6.0,1196,16
29347987,1,0,1,1,1.7,7.0,1177,16
2118212409,1,0,1,1,1.5,6.0,1196,16
29338751,1,0,1,1,1.2333333333333334,7.0,1298,16
29408992,1,0,1,1,1.2666666666666666,7.0,1177,16
29344485,1,0,1,1,2.233333333333333,7.0,1177,16
29333751,1,0,1,1,1.0,7.0,1298,16
29336908,1,0,1,1,1.3666666666666665,7.0,1298,16
29341711,1,0,1,1,1.2,7.0,1177,16
29335247,1,0,1,1,1.0333333333333334,7.0,1298,16
29341708,1,0,1,1,1.1666666666666667,7.0,1177,16
29408905,1,0,1,1,1.1666666666666663,7.0,1177,16
29348197,1,0,1,1,2.033333333333333,7.0,1177,16
29337243,1,0,1,1,1.3333333333333333,7.0,1298,16
29348196,1,0,1,1,2.033333333333333,7.0,1177,16
29337238,1,0,1,1,1.3666666666666665,7.0,1298,16
29336901,1,0,1,1,1.4,7.0,1298,16
29338736,1,0,1,1,1.2666666666666666,7.0,1298,16
29335231,1,0,1,1,1.0666666666666669,7.0,1298,16
29402898,1,0,1,1,1.7666666666666666,6.0,1196,16
29408897,1,0,1,1,1.2333333333333334,7.0,1177,16
29403396,1,0,1,1,1.1333333333333333,6.333333333333332,1087,16
29348187,1,0,1,1,2.0666666666666664,7.0,1177,16
83124729,1,0,1,1,1.4333333333333331,7.0,1298,16
29349685,1,0,1,1,2.4,7.0,1177,16
29335227,1,0,1,1,1.1,7.0,1298,16
29348182,1,0,1,1,2.1333333333333333,7.0,1177,16
29337225,1,0,1,1,1.3333333333333333,7.0,1298,16
29401385,1,0,1,1,1.4333333333333331,7.333333333333332,1142,15
29346182,1,0,1,1,2.066666666666667,7.0,1177,16
29348180,1,0,1,1,2.1333333333333333,7.0,1177,16
80107884,1,0,1,1,1.6333333333333335,6.0,1196,16
83124724,0,1,1,0,2.55,9.0,1669,15
29340384,1,0,1,1,1.7666666666666668,6.0,1196,16
29335724,1,0,1,1,1.1666666666666667,7.0,1298,16
29349675,1,0,1,1,2.433333333333333,7.0,1177,16
29337220,1,0,1,1,1.2666666666666666,7.0,1298,16
29349674,1,0,1,1,2.433333333333333,7.0,1177,16
29397879,1,0,1,1,1.6000000000000003,6.0,1196,16
29348173,1,0,1,1,2.0666666666666664,7.0,1177,16
29408877,1,0,1,1,1.1666666666666667,7.0,1177,16
121658718,1,0,1,1,0.9666666666666668,7.0,1298,16
29345673,1,0,1,1,1.2666666666666666,7.0,1177,16
29343167,1,0,1,1,1.5666666666666664,7.0,1177,16
29336218,1,0,1,1,1.1333333333333335,7.0,1298,16
29398871,1,0,1,1,1.7666666666666666,6.0,1196,16
29346163,1,0,1,1,2.0,7.0,1177,16
29333718,1,0,1,1,0.9333333333333332,7.0,1298,16
29402990,1,0,1,1,1.9666666666666668,6.0,1196,16
29345661,1,0,1,1,1.2333333333333334,7.0,1177,16
29341712,1,0,1,1,1.2,7.0,1177,16
2079500865,1,0,1,1,2.6666666666666665,6.0,1196,16
63834655,1,0,1,1,1.933333333333333,7.0,1177,16
